Cognate_ID	alak	bahnargolar	bahnarkontum	bahnarpleiku	brao	bunong	cheng	chrau	cua	halang	jeh	jrulaven	kasseng	khaonh	mel	mnongrlm	nyaheun	ramam	rengao	sapuan	sedang	sre	stieng	tampuan
100_ratmouse	c a m a ŋ	k ə n ɛː	k ə n ɛː	k ə n ɛː	k ə n eː	n eː	k n eː	k ə n ɛː	k a n eː	k ə n ɛː	k ə n ɛː j	k n ɛː	ʔ ə m a ŋ	k ə n a ɛ	k ə n ɛː	n a j	kʰ j eː ŋ	k ə n ʌ j	k ə n iː	k r ɛː	k ə n a̰ j	ɗ ɛ	k ə n e j	w a r
101_red	pʼ r oː ŋ	ɓ r eː	ɗ uː m	ɓ r eː	c a h	c a ŋ	c a h	p rʰ ɔː	d oː p	d ṳː m	d ṳ m	d uː m	b r oː ŋ	k ə h ɑː ɲ	k ə h aː ɲ	b r oː ŋ	d u m		d ṳː m	d ɨ m	t u ə m	pʰ u ŋ	d o m	k a h r ə j
102_ricecooked	p aː j	p ɔː r	p ɔː r	p ɔː r	p u a r	p i aː ŋ	p u a r	p i e ŋ	p ʌ ŋ	p ɔ a r	p ɔː l	ʔ ʌː p	n s aː j	p e ə ŋ	p i ə ŋ	p i e ŋ	p u a n	p aː	p ɔː r	p u a l	b a̰ w	p i a ŋ	p i a ŋ	p oː r
103_riceunhusked	m pʼ aː	ɓ aː	ɓ aː	ɓ aː	c e h	p a̤ː	c ɛ h	v aː	b aː	m a w	m a j	c ɛ h	ʔ ə b aː	ɓ a̤ː	ɓ a̤ː	b aː	c ɛ h	m a j	ʔ m a w	c ɛ h	b a̰ w	k ɔ j	b aː	p i̤ ə
104_rightside	p a h + t ɨ m	ɡ a h + ʔ m aː	ɡ a h + ʔ m aː	ɡ a h + ʔ m aː	c ə m aː	m aː	p a w + c a m aː	m aː	ɓ əː	ʔ m aː	n a h + ʔ m aː	h m aː	ʔ ə m aː	kʰ ɑ ŋ + m ɑː	kʰ a ŋ + m aː	m aː	m m aː	h ə m aː	ʔ m aː	s a m aː		m a	m aː	s a m aː
105_ripecooked	tʼ uː m	ɗ uː m	ɗ uː m	ɗ uː m	d u m		d u m	d u m	d oː p	d uː m	d ṳ m	d uː m	d oː m	ɗ ʊ m	ɗ ʊ m	s ɨ n	d u m	c ɛ n̥	c i̤ n	d ɨ m	t u ə m	d u m	d u m	t u m
106_river	m ɛː + tʼ aː k	k r ɔː ŋ	k r ɔː ŋ	k r ɔː ŋ	d ə n a j	k r ɔː ŋ	t r ɔ h	d aː ʔ	l əː k	d aː k + k r ɔ a ŋ	d aː k + m i̤ h			k ɔ n + ɗ a̤ː k	k ɔ n ɗ a̤ː k	k r oː ŋ	ɲ r ɔ h	k ɣ ɔː ŋ	d aː k	d aː k + m a n a j	k r ɔ̰ ə ŋ			
107_roadpath	n t uː ŋ	t r ɔː ŋ	t r ɔː ŋ	t r ɔː ŋ	t r uː ŋ	t r oː ŋ	t r uː ŋ	t r ɔː ŋ	t r u ə k	t r ɔ a ŋ	t r ṳ a ŋ	t r u o ŋ	t r u ə ŋ	t ʀ a w ŋ	t r ɔː ŋ	t r oː ŋ	t r u o ŋ	t ɣ ɔː ŋ̊	t r ɔː ŋ	t r uː ŋ	t r ɔ̰ ə ŋ	ɡ u ŋ	t r ɔː ŋ	t r oː ŋ
108_root	r ɛː h	r ə h	r ə h	r ə h	r i a x	r e h + s iː	r i a h + l ɔː ŋ	d r i e h	r e a h	r i ə h	r i a ç	r i a s	ʔ ə r i ə h	ʀ æ h s iː	ə ɾ i ɛ h	r ɛ h	r i a h	r ɔː j ç	r i h	r i a h + l ɔː ŋ	r ɛ j	r i a s	d r i e h	r a j a h
109_round	k a m p oː m	h ə p oː m	ʔ a p oː m	ʔ a p oː m	m p ɑː m	r w aː ŋ			p ɔː p	t ə ŋ w i l		w a l	ʔ ə l oː m	m l ə m	m u l	w ɨː l	p ɔː m	v u ɺ	h v u l		t ə v e ə ŋ	w i l	r w ɨ l	m o u l
