Cognate_ID	Achagua	Awa	Baniva	Bara	Barasana	Bari	Bora	Cabiyari	Carapana	Carijona	Catio	Chapalaachi	Chimila	Cubeo	Cuiba	Curripaco	Desano	Dimina	EmberaChami	EmberaDarien	EmberaTado	EpenaBasurudo	EpenaSaija	Giacone	Guahibo	Guambiano	Guayabero	Ika	Inga	Jitnu	Jupda	Kakua	Kamsa	Kogui	Koreguaje	Macuna	Mirana	Muinane	Nukak	Ocaina	Orejon	Paez	Piapoco	Piratapuyo	Playero	Puinave	Resigaro	Saliba	Secoya	Siona	Siriano	Tanimuca	Tariano	Tatuyo	Totoro	TsafiquiPila	Tucano	TuneboCentral	Tuyuca	Waimaja	Wanano	Wayuu	WitotoMinica	WitotoMurui	WitotoNipode	Wounaan	Yucuna	Yukpa	Yuruti
100_collaredpeccary	tʃ a m uː	s a i n u		k iː j e h e	k ĩ		m eː n i		j e s e	h a k i r a	b i ɗ o w e	a v e n dʲ u ʃ u	ᵐb iː w i t i ʔ	w ã r ĩ h ẽ h ẽ	ts a m u r i	j a m o r i t o	j e s e	u r u n u k w a	b i d o w e	p i ɗ o w e	b i ɗ o w e	p i d o i	p i d o w e	a m p i a	ts a m u l i		tʃ a m a	s a h i n u	s a x i n u	ts a m u l	t ɔ̃ h o t	t i ʔ	s a i n	n u k b i t u	s ẽ s e	j e s e	pʰ aa pʰ a j p aa	m eː n i		h ãː tʃ o β a	j a u	j u ʔ kʰ	a p i tʃ a	j e s e	tʃ a m u r i	d e + p i	h a p iː ts u	ɾ ã p o ʔ g a ʔ d u	j a ʔ w ɨ	j a ʔ o	j e s e	h ẽ k a p e r a k a		j e h e		p a r a	j e s e	s e j a	k iː j e s e	k ĩː	j e s e	p ɨ i t tʃ i	m e r o	m e r o	m e r o	b eː ɾ ʔ ɯ̃ tʃ	a p i j e		j e s e
101_cornfield		p i a		w e h e	w e s e		kʷ a x kʲʰ o ʔ a		w e s e	t u h i t ɯ	pʰ e g a	p i ʃ p a l a	k a n d j a	h i o	h e ts a	k i n i k i	p o e	t e		pʰ e a	pʰ a d a	pʰ a t a	pʰ a t a	u a p a n a n i p e d a	h e ts a p a b i	p u r a	h e s l u l	tʃ ei	s a r a	p a b i	b ɔ t	h o a	t a ɕ x a ɲ e	e b i x ə l d ə	β e a	w e s e	ɯ h ɨ pʰ a tʃ i	ɸ a g i	j ɛː d n	h õ ʔ t ãː h ĩ	j i o	ʃ i b	k a n a i	j o	h e ts a p a b i	m o	dʒ a k a d e		w e a	z i o	p o ʔ e	r i o a		w e h e		p i j o	o h o k a	ʃ i a	h o r i k a w e s e	w e h e	j o		b e dʒ a r e	b e dʒ a r e	b e dʒ a r e	pʰ ɯ a	m e n a h i		w e s e
102_seed	iː m i	p i pː a		k a p e	a h e a	ʔ a k o k b ə	p a x tsʰ o kʷ a	k i t j i h e	o t e r i k e	e h e r u	n e tʰ a	ɲ i	ʔ r uː ʔ	o t e i j a b e	p e x u t o	iː ʃ i	o t e r i	ʒ a n d u n a	n e tʰ a	n e tʰ a	n e tʰ a	n e tʰ a	n e tʰ a		p e x u: t o	j e lʲ	h e s ɸ u t	z a dʒ u n a	m u j u	p u w e n a p	w ɨ g	t i b	x e n a j e	z u l a	o tʰ e a	a h e	p a h tsʰ o tʰ a	n oː b a b a	t ɛ̃ k ɛ̃ l ẽ	n a β iː ɲ̥ i	g a	ɸ i w	iː m i	pʰ e	p e x u t o	b i k	h i m i u	i p u	k ã	ã õ d a ʔ k a d ɨ	o t e r i k o j e	j a p e a	k a i t e	o t e r i k e	j e lʲ	n i	k a p e	r u r a	o t e r i p e	k a	j a p a	s ɨ ʔ ɨ	i h ɯ	i d o	i h ɯ	n e m h ĩ i ɾ	i tʃ a h i + i h i	j o n a k e	j a p e
103_snake	aa i	k a m t a		ã j ã	ã j ã	tʃ i d uː ɾ ə	iː nʲ i mʲ e	ʔ a pː i	ã j ã	a k a i	d ã m ã	p ĩ n i	m a nː u ʔ	ã j ã	h o m o	aa p i	ã j ã	g u m a	d a m a	t a m a	d a m a	t aa m a	t aa m a	a p i	h o m o	u l	h o m	g w i o m ɨ	k u l i b r a	h o m	j ɔ̃ h	b ã j	m ɨ t ɕ k u a j e	t a k b i	a ɲ a	ã j ã	iː n i m e	x iː n i m o	m ã ĩ	a n ɯ̃ ʔ tʲ õ k o	ã j ã	u l	aa p i	ã j ã	h o m o	s ɨ̃ p	o n a ʔ k o	dʒ a kʷ i	ã j ã	ã j ã	ã j ã	ã j ã k a	ʔ ã m p i	ã j ã	o l	p i n i	ã j ã	k u m o r o a	ã j ã	ã j ã	ã g ã	w ɨ i	h a i o	h a i o	i β a n a	n e m kʰ õ ɾ	h e i ŋ		ã j ã
104_sun	k a i w i a	p ã		ɨ̃ b ɨ̃ r i k o b ã k ɨ̃	ɨ̃ b ɨ̃ ã a g ɨ	j ãː n ə	n ɯ ʔ p a	ʔ e r i		b e i	ɨ m a d a u	p a h t a	ⁿd i ŋː a ʔ	a w i a	x o m e t o	h e r i	a b e	m a m a d u i s a	pʰ ɨ s ɨ a	u m a d a u	b i s i a	p i s i a	a kʰ õ ɾ ẽ	k eː r i	iː k o t i a	p ɨ t ɕ	h u i m t	dʒ w i	i n d i	k o t i	w i d ɔ h	j e w	ʃ i n j e	n i ũ w i	ɨ̃ s ɨː	ũ b ã k ã j ĩ	kʰ oː h ɨ h pʰ i	n ɨ ʔ ɨ b a	w i d ʔ	n ɯː n a	ɨ̃ s ɨ	s e k	eː r i	a s ɨ̃	h u a m e t o	ɲ ã m ã t	h a ʔ i	h o x oː t e	ɨ̃ s ɨ	ɨ̃ s ɨ g ɨ	a b e	a i j a k a	k eː r i		p ɨ ɕ	j o	b ũ h ĩ p ũ	r a ʔ s a	b ɨ r e k o b ã k ɨ̃	ɨ̃ b ɨ̃ r e k o	s ɨ̃	k a ʔ i	h i t o m a	h i t o m a	h i ɗ o m a	e d a u	k aa m u	w i j tʃ o	b ɨ r e k o b ã k ɨ̃
105_rattle		u l m a l m u		j ã h ã g ã	k ã b õ k ã		tʃʰ e ʔ kʰ e ɯ		j ã s ã	m a r a k a	h a i b a r a	tʃ i k i tʃ i k i	t oː ʔ	h ã h ã b ɨ	ts i ts i b ɨ	m a r a k a	j ã s ã r ũ		h a i d u m a	t u m a	h a i d u m a	t u m a	t u m a		ts iː ts iː t o		h a w e tʃ		m a r a k a	tʃ i tʃ i t		d o t	m a r a k ɨ ʃ e	t ã i		j ã s ã g ã	tʰ e ʔ kʰ e ɯ	g aa d a i		t õõ ʔ ɸ ɯ		s n a kʰ a		j ã s ã	tʃ i tʃ i t o		tʃʰ e ʔ k e ʔ o				j ã s ã r ũ	h ã h ã		j ã h ã			j ã s ã	t a b a r a	j ã s ã g ã	j ã h ã g a	j ã s ã k ã	i ʃ i r a	ɸ i r i θ a i	ɸ i r i θ a i	k a β a dʒ e	p a p u ɾ m i e	l a ʔ a r i		j ã s ã g a
106_blow	h u h u n e d a	u s n a		p u t i	w ẽ ã t u	ʔ a k o k a j n ə	ɯː p o	k a p uː p u a	p u t i	n e h u k a n ɯ	h ã r ã pʰ u a	h u i p u n u	p uː	h a p u j ɨ	o pʰ u b a	p a p i a k a	p u r i	ʃ w i ʃ i	h ã ɾ ã pʰ u a	h ã r ã pʰ u a	h ã ɾ ã pʰ u a	h ã ɾ ã pʰ u a	h ã ɾ ã pʰ u a	p i k u k a n i p e	u x u n e	u t ɕ i p	ɸ ɨ	k ə w i s ə n	p u k u j	p a p a p e h a	p ũ b ũ t ũ j	p o h	x a n g o w a n a	h u i ʃ ĩ	tʰ u tʰ a	h u t i	ɨ p a tsʰ ɯ ʔ kʰ ɯ	g i s ɨ ʔ i	h e i	ɸ oː ɸ o	h u h u j i	p u tʰ	w a p u a k a	p u t i	u ɸ u d e	p i k	ɸ oː	h u w a h a ʔ a	h u j e	h u i	w ẽ h ẽ p u	p u p u r i k a	p u w e p e n i a n̥ a	p u t i	o t ɕ ɨ p	f u r i p o	p u t i	k u ʔ w i n r o	p u t i	ĩ ã p ũː	w ã	a h u ʔ u l aa	ɸ uː d e	ɸ u r i d e	h a i ɲ o d e	pʰ u a s i ɾ	a pʰ o ʔ o k a h e	e ʃ o m a	p aa p u
107_tobacco	tʃ eː m a	t a n k a n		b ɨ̃ d õ	b ɨ̃ d õ		p a nʲ e		b ɨ̃ d õ	t a m ɯ	dʒ i h õ	t aa k u	k aa r i t i	b u tʃ i	ts e m a	i e m a	b ũ r ũ	d u a m b i ʒ i		tʃ i h õ	tʃ i h õ	tʃ u j õ	tʃ i h õ	j eː m a	ts eː m a	k ɨ n ts ɨ	x o	t a b a k u		k o h a	h ũ t	h ɨ p	t b a k o	t a b a kː u	m ɨ tʰ o	b ɨ̃ d õ	p a ɲ e ʔ e	b a ɲ o	ɲ ɨ n a	tʲ o ʔ oː k o	b ɨ̃ t o	w ẽ xʲ	tʃ e m a	b ɨ̃ ʔ d õ	t a b a k o b a x u t o	h ə p	n iː ts i	a r e	m ũ t o	m ɨ̃ t o	b ũ ʔ r ũ	b ĩ ʔ r õ ã		b ɨ̃ d õ	k ɨ n ts ɨ	t a k o	b ɨ̃ ʔ r õ	o r o k o a	b ɨ̃ d õ	b ɨ̃ d õ	b ɨ̃ ʔ d õ	j ɨ i	dʒ e r a	d ɯ o n a	d ɯ o n a	p i e h õ	l i tʃ i	t a p a	b ɨ̃ d õ
108_drum		k u n u n u		j u k ɨ t u t i	h a b ɨ s i o r i a h u r i a		kʰ ɯː m ɯ p a		j u k ɨː r i k a	t a b u r u	z o kʰ o	k u n u n u	t u m b r i	t ẽ b ɨ̃ r ĩ b ɨ		k a m b a	t o a t o r e	k u m ɨ n a			tʃ o kʰ o	tʃ o kʰ o	tʃ o kʰ o	d u l i p i r u		p a l ɨ		k a h a	b u m b a		b æ̃ t + b ɔ k	p ẽ d + d a ʔ	ɕ ɨ n x a n a b e	k ã h a	β a tʰ i β ɨ	b u	kʰ ɯː m ɯ p a	k ɨː m ɨ b a			t ɨ k a	k w ẽː t a		t o ʔ a t i	p e k o t o k u a n tʃ i w a		k oː m o b u		w a t i w ɨ	w a t i g u	t oː a ʔ t o r e	j a p u t a ʔ s i a		j u k ɨː r ɨ k a	p a l ɨ	b a n b u t u	t o ʔ a t ɨ	k u k m a r a	j u k ɨ t u t i	j u k ɨ g ɨ	t o ʔ a t i	k aa ʃ a	h u a ɯ	h u a ɯ	h u a ɯ ɗ i r u	tʰ ũ r	k uː m u		j u k ɨ t o t i
109_roof	k u iː t a	j a l		b ũ ĩ	b õ h ĩ	k a j r ə	pʰ a kʷ aa n e		b ũ ĩ		ã kʰ i d a	j a	h u kː a ʔ	b ũ ĩ	b o	p a n t i	b ũ h ĩ			d e	d o	t e	t e		b o	j a	b a b ɨ t	u r a k ɨ	t i x a	p e j a k a t a r a b i a		b ɨ̃	b o n x a n a n a	z e m a	p ũ i	b ũ h ĩ	tʰ e kʷ aa n e	n i b a ʔ u	n ɛː ʔ a t	m o ʔ x oː ʔ ɸ i	b ɨ̃ ĩ	j a t	k a p iː	b ũ h ĩ	b o b a x u	m õ	k aa d o		w ɨ ʔ e	b ũ ĩ	b ũ h ĩ	b ũ ĩ ã		b ũ ĩ	j a β a l a	j a	b ũ h ĩ	u b a ʃ a n a r a	b ũ ĩ	b ũ ĩ	b ũ h ĩ	s aa h u n a	e r e i	e r e h i	e r a i	d i ʔ ɪ u	k aa r u	k a r a n a	b ũ ĩ p ã b ã
