Cognate_ID	Arak	Arem	Bahnar	Bit	Bonda	Bru	BruVK	Bugan	Car	Chong	ChongH	Chrau	Cuoi	Dakkang	Deang	Didra	Gantang	Guanshuang	Hadang	Halang	Hre	Hu	Iduh	JahHut	Jahai	Je	Jeh	Jru	Juang	KSurin	Kadong	KahoChil	Kantu	Kasong	Katu	Kensiw	KhaPhong	Khamet	Khang	Kharia	Khasi	Khme	Khmer	Khmu	KorCua	Korku	Ksinmul	Kui	KxinhMul	LaoKatu	Liha	MBunong	MDip	MRolom	Ma1	Ma2	Mak	Malieng	Mane	Mang	Mangan	Mlabri	Mon	Mundari	MuongKoi	Nancawri	Neu	Nge	Nhaheun	Nyakur	Ong	Oy	Pakoh	Paliu	Pangpin	Panong	Parengi	Phong	PhongV	Plang	Pray	Rengao	Ruc	Rumai	Samre	Santali	Sedang	Semai	Semelai	SemoqBeri	Shuangdiang	So	Sora	Sre	Stieng	Taoi	Taoih	Tariang	Temiar	Tempuan	Thavung	ThavungSo	ThoMon	Tri	Tuum	Veh	Vietnamese	Wa	Yongde
100_yellow	r a k	v ầ/a ŋ	d r e ŋ	ʔ ɔ r	s a ŋ + s a ŋ	r ə r ia ʔ	r a r ia ʔ	ŋ g a ³¹	k i l + ŋ uə ŋ	l ɨa ŋ A/¹	l ɨa ŋ A/¹	r ə m ɨ t	v a ŋ ³⁴³ˀ/³⁴³	h ə r a k	t ɛ ŋ	d r i ŋ		ŋh/ŋ̊ ɛ l ¹	dʑ i ŋ	d r i ŋ	v a ŋ	s ə ʔ ¹¹ + ɣ ɔ n ³³	g a c â/a j		k u n i ŋ	ph/pʰ a w ³³	d r i ŋ T/¹⁵	h m e t	s a l a ŋ + s a ŋ	l ə̂/ə ŋ	dʑ i ŋ	r ə m ɨ t	r a k	j ɔ h C/³	ʔ ə r ʌ k	h ɛ ʔ ɔ j	ŋ ɛ r ³³	h o ŋ ³¹	ʔ ɛ l ³⁵	s a ŋ	s t e m	h o ŋ ⁵¹	l ɨə ŋ	c/ts ə ŋ a r	t ɛ k	p e v a r i	l ɨə ŋ		l ɨə ŋ ³³	r a k	v a ŋ ⁴³	r m i t	n ʔ e r	m ɨ t	m a h	r ə m e t	t a r iə ʔ	ṭ/ʈ a ŋ ³³	lh/l̥ ə ŋ ¹	ɲ aɨ ³¹	lh/l̥ ɨ ŋ ⁵¹	w ə k + ʔ j e k	ḍ/ɖ a ʔ m i t	s a s a ŋ	v a ŋ ¹	ŋ ə́/ə	l ɨə ŋ	r a ʔ	h m e t	p ə c u ɲ ¹	ʔ ɛə ŋ B/²	l ɨa ŋ	r a ʔ	m b j aː ŋ ⁵³		t ɛ k	s a ŋ	ks/kˢ a j	ʔ ɛ l ⁴⁴	l ə ŋ ³³	s i + l ɨə ŋ	d r i ŋ L/⁵⁵	v a ŋ	t â/a n ⁵⁵	j ɔ h B/²	s a s a ŋ	t r i ŋ T/¹⁵	l ə w e t n	d ə ŋ a t		lh/l̥ ə ŋ ⁵¹		s a ŋ + s a ŋ	r m i t	r m ɨ t	r a ʔ A/¹	r a k	ch/tsʰ ɔ ŋ	b l a d ɛ r	k r m ɨ t	c/ts a l C/³	c/ts a j ³	v a ŋ ⁴³⁴	l ɨə ŋ	ʔ ɛ l ²¹²	m ə ŋ ie l	v a ŋ	lh/l̥ ə ŋ	l ə m ³³
10_bone	k ə t i ŋ	s ì/i iə ŋ	k ə t i ŋ	j ɔ ŋ	s i ʔ + s a ŋ	ŋh/ŋ̊ a ŋ N/⁵	ŋh/ŋ̊ a ŋ	j a ³⁵	t a + ŋ ɛ k	k l ɔ ŋ A/¹	k l â/a ŋ A/¹	n t i ŋ	s ɨə ŋ ⁴³	h ə h a ŋ	k a + ʔ a ŋ	ks/kˢ e ŋ L/⁵⁵	ʔ a ŋ ⁵¹	s i ʔ a ŋ	s ia ŋ	k ə s ie ŋ B/²	k a s e ɲ L/⁵⁵	k a ⁰ + a ŋ ³³	j a n ʔ i ŋ	dʑ ə ʔ a ŋ	dʑ ə ʔ e ŋ	s i k ⁴³	k ə s ia ŋ L/⁵⁵	k ə t ɨə ŋ	a ḍ/ɖ o	c/ts ʔ ʌ ŋ	s iə ŋ	k ə n t i ŋ	ʔ ə ŋh/ŋ̊ a ŋ	k l ɔ ŋ A/¹	ŋh/ŋ̊ a ŋ	ʔ i j e ŋ	c/ts ʌ ŋ ⁴³⁴	a ŋ ³¹	t a k ³² + ʔ ɨ ŋ ⁴⁵	dʑ a ŋ	sh/sʰ ie ŋ	ʔ a ŋ ⁵¹	ch/tsʰ ə ʔ ɨ ŋ	c/ts ə ʔ a ŋ	kh/kʰ l iə k	h a r̥ g e	l a ŋ	ŋh/ŋ̊ a ŋ N/⁵	l a ŋ ³²	h a ŋ	s ɨə ŋ ³³	n t i ŋ	nd/ⁿd i ŋ	t i ŋ	t i ɲ	k ə t i ɲ	ŋh/ŋ̊ a ŋ	s a ŋ ⁵⁵	k a + ʔ a ŋ	tʃ a ŋ ³¹	s i ⁵⁵ + a ŋ ⁵¹	c/ts a + ʔ ɛ ŋ	dʑ u t	dʑ a ŋ	s ɨə ŋ ²	ʔ u ŋ	h a ŋ	ŋh/ŋ̊ a ŋ	g r ɨə ŋ	ch/tsʰ ə l u t ²	h ə ŋ a ŋ B/²	k ə d ɨa ŋ	ŋh/ŋ̊ a ŋ	j ɛ ⁵⁵	s i + ʔ a ŋ ⁵¹	s e k	z a ʔ n	s ʔ i ŋ	s ia ŋ ²⁴	s a ³¹ + ʔ a ŋ ³³	s i ʔ + j ə ŋ	k ə s e ŋ L/⁵⁵	ç a ŋ ²	k ə ⁵⁵ + a ŋ ⁴¹²	k l uə ŋ A/¹	dʑ a ŋ	k ə s ia ŋ L/⁵⁵	dʑ ʔ a k ŋ	dʑ ə ʔ a ŋ	dʑ a ʔ a ŋ	s a ³¹ + ʔ a ŋ ⁵¹	n kh/kʰ a ŋ	ə dʑ á/a ŋ	n t i ŋ	t i ŋ	h ə ŋ a ŋ C/³	ŋh/ŋ̊ a ŋ	t iə ŋ	dʑ ə ʔ a k	n t ɛi ŋ	t a ʔ k o k C/³	t a k o k ²	s ɨə ŋ ⁴³	ŋ kh/kʰ a ŋ	s ia ŋ ⁴⁵	kh/kʰ ie ŋ	x ɨə̯ n g	s i + ʔ a ŋ	ʔ a ŋ ⁵¹
11_breast	t ɔ h	n â/a j	t u h	b o ʔ	d a ʔ t u + kw/kʷ i	t ɔ h N/⁵	t ɔ h	n ɛ ³⁵	t ɛ h	th/tʰ u h A/¹	th/tʰ u h A/¹	g a t o h	ʔ u ³⁴	t ɔ h	b u	t o h	kh/kʰ i k ⁵⁵ + m ɔ ⁵⁵	t ə lh/l̥ ¹	t o h	t u h B/²	t o h	o m ³¹ + p u ʔ ⁵⁵	ʔ ǔ/u j	b u ʔ	ʔ ɛ̃ m	t o ⁴³⁴	t u h T/¹⁵	t o h	n u n u	d â/a h	t o h	t ɔ h	t ə h	j o k A/¹	t ɔ h	ʔ a m	p a n u ³³ˀ/³³	m th/tʰ u h ³¹	b o ʔ ²¹	m a ɲ o ŋ	sh/sʰ a d e m	dh/dʰ u ʔ ⁵³	ṭ/ʈ ao h	b u ʔ	t o h	b u c i	ʔ u m	t ɔ h N/⁵	ʔ ɨ m ³³		n ou ⁴³⁴	n t ə h	t ɔ h	t ɔ h	t ɔ h	t ɔ h		p ə n u ⁵¹ˀ/⁵¹	ɲ a ʔ ³³ + p ɨ ʔ ³⁵	b u ⁵¹	p u ⁵¹	b o	t a h	n u n u	m e m ³	t u á/a h			t ɔ h	t ɔ h ¹		t ɔ h	t o h T/¹⁵	ɲ i n ⁵³	gh/gʰ ɨ t ⁵⁵ + p u ⁵¹	t o	a r u ʔ m	t u t	n u ⁴⁴	t ɨ h ⁵¹	p o ʔ	d a ʔ T/¹⁵ + n o dʒʰ L/⁵⁵	n ɔ j ⁴	b u ⁴¹²	j ɔ k A/¹	ɲ u ɲ u	t u h T/¹⁵	m ɛ m	t u h	t u h	t o ⁵¹ + p u ⁵¹		m e m é/e	n t ə h	p i + t ɔ h	t o h A/¹	t o h T/¹⁵	t o h	b ɔ t	t awh/au	ph/pʰ a ʔ n u ʔ	t ə m ʔ ə k	p u ³⁴ ʔ		n ə w ²¹²	t ɔ h	v ú/u	t ɨ i h	m ɛ ⁵¹
12_burntr	h u	ʔ a ɲ u m ʔ	s o ŋ	t ui h	ɔ g e p		c/ts â/a ŋ	d o T/¹⁵ ³³	f ə ŋ	p ɔ t A/¹	ch/tsʰ ɛ ʔ ŋ A/¹	s ɔ h	t u t ³⁴	b u h					c/ts a h		c/ts o h	k u t ⁵⁵	ph/pʰ r a w	c/ts ɔ r	ǯ/dʒ ɨ ʔ	c/ts o ³⁵		c/ts o h		d ʌ t	c/ts o h		ʔ ɔ c/ts	p ɔ h A/¹	ʔ ɔ c/ts	t ɔ t	t u c ³³	k u t ⁵³	t e t ⁴⁵	ʒh/dʑʰ o l a	i ŋ	ph/pʰ u t ³³	ṭ/ʈ u t	p ɔ k	b u h	dʑ u l u ʔ		c/ts â/a ŋ N/⁵	d ɨ ŋ ⁴⁵	t a r â/a h	d ö/o ŋ ³³		s u		ch/tsʰ u	dʑ u	ʔ p ɨə ʔ	t u c ³³		c/ts ua ŋ ⁵¹	k ui t ⁵⁵	b u + ʔ u j	c/ts ao ŋ	r o		ʔ i n + j ᵻ́a/ɨa n	b o h	c/ts a m	c/ts o h	c/ts ɔ ŋ	p a d o B/²	b o h	c/ts ɔ ŋ	n ¹ + d au ⁵³		b u h	t a g u		k u m ²⁴	k a ³¹ + ɲ ia ⁵¹	th/tʰ o c + s a ʔ	c/ts u h T/¹⁵	t u c ³	t o k ⁵⁵	kh/kʰ a j a k A/¹	dʑ e r e t	c/ts u h T/¹⁵	t ɔ t	k u w e l	t u t	k ui k ³¹		b a l		ʒh/dʑʰ u	k ə c o m A/¹	ʔ o c L/⁵⁵	b o h	ɲ o h		t û/u t B/² + k ui h B/²	p a k u m ²	t o t ³¹	b o h	n a ŋ ²¹²	c/ts ɔ h	d ɸ́/ɸ t	k ɨ i k B/²	r ɔ ŋ ³¹ + k ɔ ŋ ³³ + k
13_clawnail	k ə r n ɛ h	n t â/a ŋ	t ə ŋ iə h	t a m + s o ŋ	k r i m ei	n t r e h B/²	k a r e h T/¹⁵	m i ³³ + t ie ³¹	k i n + s ɔ h	k ə th/tʰ a t A/¹		k ə n + h j ei h	s a m ³³	k ə r ia lh/l̥	rh/rʰ i m	k ə n e h	ʃ i p ³¹ + th/tʰ i ⁵¹	mh/m̥ ia m ¹	n j a h	k ə ʔ n ie h	k a n ia h	n i m ⁵⁵	h a ŋ k â/a r	c/ts rw/rʷ e s	k a t ɔ̃/ɔ ŋ		k ə ʔ n ia dʒʰ T/¹⁵	k ə n ia h	n o k o	k c â/a ʔ	n j a h	k ə n ʔ d ia h	k r j a h	k a th/tʰ r a h A/¹	k ə r ie h	k a l k ɔ ʔ	k a s a m ¹³	s i m ¹³	k ɔ ³² + p ɔ l ³²	r a m a ḍ/ɖ	t y r s i m	ʔ a ³¹ + h ɔ n ³¹ + k a	k r ə c ao k	t ə mh/m̥ m ɔ ŋ	k a n iə n		m o ŋ + s uə ŋ	n th/tʰ r ɛ h B/²	m uə ŋ ³² + s uə ŋ ⁴⁵	k a r ia s	s a m ³³	ɲ ɛ h	ɲ ɛ h	n ie h	k a w		n t r i h	k a s a m ²³	ŋh/ŋ̊ i m ³⁵	ʔ i ɨ ³⁵	ŋ ə s i p ⁵⁵ + th/tʰ i ⁵¹	k u r + w ɛ t	s a ɳ e m	r a m a	m ɔ ŋ ³	k i s u á/a h	kh/kʰ l ɛ h	k e n ia dʒʰ	ŋ ia h	ŋh/ŋ̊ l iə m ¹	k ə n ia dʒʰ	k ə r n ia dʒʰ	k ə r ia dʒʰ T/¹⁵	m ai ¹³	ʒh/dʑʰ i p ⁵⁵	k a n iə n ʔ	r ua j	k i r	k ə s a m ²⁴	k a ³¹ + h i m ³³	ŋ kh/kʰ ɛ r	k ə ʔ n i h T/¹⁵	k ə n t o ŋ ¹	kh/kʰ i m ⁴¹²	k a s r a h A/¹	r a m a	k ə n e j L/⁵⁵	c/ts ə n r o s	c/ts ə r o s	t ə r k ɔ ʔ	ʒ́h/dʒʰ i p ³³	c/ts i r ɛ h	k a r	n ʔ d ia s	k ə n ie h	k ə r n ia j c C/³	k a r ia s T/¹⁵	k r ia s	c/ts ɛ n r ɔ s	h ɲ a h	k a ʔ + s a m	l ə k l a j ³	m ɔ ŋ ³⁴³ˀ/³⁴³	k ə r ɛ h	s a m ⁴⁵	h ə n ie h	m ó/o n g	ŋh/ŋ̊ i m	th/tʰ e p ³¹
14_cloud	ʔ u m + m u k	j ɨ̀/ɨ l	h ə m ə l	m ɔ k	t i r i b + ḍ/ɖ a k	m e k B/²	r a m ɨ l	ai T/¹⁵ ³³ + q ou ⁵⁵	t a + r u l	ʔ i c A/³⁴ + e k C/³	ʔ i c A/³⁴ + e k B/²	t u ʔ	m ə ɨ ³³	t ə l u k	ʔ u t	j o k	p u k ⁵⁵	t a ʔ ² + ɔ m ¹	n w a k	s i k + s u k	j o k L/⁵⁵	m o ŋ ³¹ + m o ³¹	m û/u		s a g u p	ph/pʰ a w ³³	k ə s o k L/⁵⁵	h m ə l	g i m a	pp/pː û/u ə ʔ	m a ŋ + l u ŋ	s ə n t o	ʔ a l u t	j u l C/³	d ə l u k	ʔ a l	t a l u k ³³	f a ¹³	m ɔ k ⁴⁵	t i r i b	l y ʔ o h	f a ¹³	b ə b ao k	h ə m p u t	k l u k		m ɔ k	l ə m ʌ l B/²	m ɔ k ⁴⁵	l u t	m ə n ³³	nd/ⁿd o r	t u k	t u k		t o ʔ	ə m i l	m ə n ⁴¹	mh/m̥ u t ³⁵	ɲ i o ŋ ⁵¹	r i ³³ + ph/pʰ o k ⁵⁵	k u p	m a t + b r a j	r i m i l	m ə l	m u m í/i c/ts	r l ə m e	t a l u k	ɲ uə k	m ɔ k ²	t a l u k		ʔ ə l ua t L/⁵⁵	q a ⁵⁵ + l i ¹¹	p u k ⁵⁵	dʑ u ʔ	t a r u ʔ m	m ɔ ʔ	m i l ²⁴	mh/m̥ u t ³³	b ʔ o t	j u k L/⁵⁵	m ə l ¹	ʔ u ʔ ⁵⁵	ʔ i c A/³⁴ + j u r B/²	r i m i l	s ɔ k L/⁵⁵	s a g u p	t ɔ m	s a m ɔ ʔ	p u k ³³	l a m ɨ l	t a r u b	mhw/m̥ʷ a l	t o k	t ə l u k	a l u k	t ə l u k	s a g u b	k a m ɔ l	m e k B/²	kh/kʰ ɛ ʔ + ph/pʰ a th/tʰ ɛ n	m ə n ⁴³	a m ɨ l B/²	m ə l ⁴⁵	k ə l u k	m â/a y	p ai B/² + ʔ ɔ m	p u k ⁵¹ + l i ŋ ³³
15_cold	h ʔ ɨ t	m è/e h	s ə ŋ iə w	t ə k a t	s e p	s ə ŋ ɛ t	l ɛ ɲ	l ou ³¹	u + f o v	s a c B/²	s a ʔ c A/¹	t a k â/a t	k l a ŋ ³³	g ɔ	k a t		kh/kʰ a t ³³	s i ² + k ia t ²	ʔ ŋ e w	t ə ʔ ŋ iə t B/²	ŋ ɛ w	kh/kʰ a t ⁵⁵	r â/a w	s ə d ɛ c/ts	t ə m k ɛ t	ŋ ɛ t ³⁵	r ə t e h	b ua t		t c iə ʔ	h ŋ e w	r ə ŋ e t	ʔ a ɲ i h	ch/tsʰ a ŋ B/²	c/ts ə r o ʔ	h ə ɲ e t	s a l a ŋ ¹³	ŋ a ŋ ³⁵	ʔ a ŋ ⁴⁵	r a ŋ g a	kh/kʰ r ia t	ŋ a ŋ ³³	t r ə dʑ ɔ k	h u c/ts	dʑ ə l ɛ k	r a b a n	t ə k a t	c/ts ə k â/a ʔ N/⁵	th/tʰ ə k a t ⁴⁵	k r ɔ l	n a c ³⁴	n ʔ d i k	r ə ŋ e t	ʔ i k	ŋ e c/ts	l ə ŋ i t	c/ts ə ŋ ɛ t	a l a ŋ ³³	k ɔ t ³⁵	d e m ⁵¹	kh/kʰ a t ³³	t a k a t	m u h	t u t u k u n	l e ɲ ⁵	p a c a w	c/ts ə ŋ ɛ t	ŋ ʌ r	r a h		ŋ a r	d l i m	t ə ŋ a n	k ə ŋ ⁵³	kh/kʰ a t ³¹	s i ŋ j a ʔ	z e ŋ		m ɛ l ⁴²	k ɔ t ⁵¹	kh/kʰ e t	t ə ŋ e t L/⁵⁵	l u b a t ³	k â/a ⁵¹	ch/tsʰ a ŋ C/³	r e j a r	h ə ŋ iu T/¹⁵	s ŋ ɛ c/ts	s ə d ə c/ts	s ə d ə c/ts	kh/kʰ a t ³¹		r á/a ŋ a	m r i t	ʔ l i k	ŋ a r C/³	a ŋ a n	r ia l	s e ŋ e d	l ʔ ɔ t	s a ʔ l a ŋ B/²	ɲ ɔ n	l a ŋ ³⁴³ˀ/³⁴³	s a ŋ ɛ t	m ɛ l ²¹	r ɔ t	l a nh/n̥	k ua t	kh/kʰ a t ⁵¹
16_come	pɦ/pʱ ɨə h	t ʃ ò/o h	n a m	ʔ ɔ m	s a p	t ʌ ʔ B/²	t ʌ ʔ L/⁵⁵	n u k ³¹	j i h	c/ts ɛ n B/²	ʔ e n A/¹	t a t	t e ŋ ³⁴	k ə n	r ɔ t	t r o h	l a t ³³	i ŋ ¹	c/ts u h	l a h + t r u h B/²	t r u h L/⁵⁵	l a t ⁵⁵	ʔ ɛ̂/ɛ j	b ə ʔ	k ə lw/lʷ ĩ/i l	t u ³⁵	t r u h L/⁵⁵	b ɨ h	ḍ/ɖ e n	m o	c/ts u h	t o h	t əa k	j i p C/³	t ɨə k		t e ŋ ³³ˀ/³³	i n ³¹	k l ə ⁴⁵	ḍ/ɖ ɛ	w a n	ʔ i n ⁵¹	m ɔ k	g a j	t u h	h i dʑ	p l e h	c/ts a w N/⁵	ʔ ɔ m ³³	c/ts o	t ɛ e ɲ ³⁴	t ə t	t a t	t r o h	ṭ/ʈ o h	t r o h		t e ŋ ¹⁴	h ui k ³⁵	h ɔ ⁵¹	l a t ³³	l e	k l u ŋ	h i dʑ u ʔ		d aː k + t a	j w ɔ ʔ + a k a w	c/ts a w	b ɨ h	l o ŋ ²	c/ts o B/²	c/ts ɨ ʔ	t o ʔ L/⁵⁵	m u ɔ ³³	l a t ³¹	t o h	n a ʔ j		l a j ⁴²	ʔ i ŋ ⁵¹	l e h	t r u h T/¹⁵	b a k ³	d ɛ h ⁵¹	j i p A/¹	h i dʑ u ʔ	k ia m T/¹⁵	l ɔ s	d ɔ s	t ə l	l a t ¹¹	t ɨ ʔ	i r + ai	t u s	l o h	p ɔ ʔ A/¹	t ɨa k T/¹⁵	c/ts i w	m a ʔ		l a j ʔ F/⁵¹	v ɨ n ²	t e ŋ ³⁴³ˀ/³⁴³	t ʌ ʔ	l a j ²¹	t a l	ɗ i	h oi k	l a t ⁵¹
17_die	s i t	c/ts ɪ t	l o c/ts	ŋ a t	g ei		k u c i t T/¹⁵	p c a ³¹	k u + p a h	h o c A/¹	h o c A/¹	c/ts ɨ t	c/ts e t ³⁴	k ə c i t	j ă m	h l a ʔ T/¹⁵	j ɛ p ⁵⁵	j o m ¹	t ə́/ə j ʔ	h o t B/²	k a c i t L/⁵⁵	j a m ⁵⁵	b ɔ̂/ɔ ɛ	k ə b ɨ s	k ə b i s	c/ts i t ⁴³	k ə c ia t L/⁵⁵	k e t	g o dʑ	ŋ ɨə p	t ə j ʔ	ch/tsʰ ə t	c/ts e t	h o c A/¹	c/ts e t	g a b i s	k a c e t ⁴³	ɲ a m ³⁵	ŋ a t ⁴⁵	g o ə dʑ	ia p	ɲ ia m ³³	s l ɔ p	h a n	s e t	g o j o ʔ	s iə n	l ɛ h B/²	h ɛ t ³² + s iə n ³³	c/ts e t		kh/kʰ i t	l ɛ ʔ + kh/kʰ ə t	kh/kʰ ɨ t	ch/tsʰ e t	ɭ ɛ t + dʑ e t + b e h	k o c e t	k i c e t ¹⁴	j ə m ⁴	s i t ⁵⁵	j a p ⁵⁵	b ɨ l	kh/kʰ y ui t	g o dʑ o ʔ	c/ts e t ³	p a ɲ ə́/ə p	l ɛ h	k a c e t	k e t	k ə c ɛ t ¹	k a c e t	k e t	c/ts e t T/¹⁵	lˠ ɨ t ⁵³	j a p ⁵⁵	k a s i ʔ	k i ʔ n	b ə l	c/ts e t ²¹	j ə m ⁵¹	p ə l	h l a t T/¹⁵	k ɨ c i t ³	j â/a m ⁴¹²	h u c A/¹	g u dʑ u ʔ	h l a L/⁵⁵	d a t n	kh/kʰ ə b ə s	k ə b u s	j a t ³³	k u c i t	k a j é/e d	ch/tsʰ ə t	ch/tsʰ e t	k ə c e t A/¹	c/ts e t T/¹⁵	c/ts i t	k ə b ə s	ṭ/ʈ a w	c/ts ə t B/²	c/ts ʌ t ¹	c/ts e t ³¹	k a c i t	c/ts e t ²¹²	c/ts ie t	ch/tsʰ ə̯ t	j u m B/²	z e t ¹⁵
18_dog	c/ts ɔ	a c â/a ʔ	k ɔ ʔ	tɕ ia ʔ	g u s ɔ ʔ	ʔ ə c â/a N/⁵	ʔ a c ɔ	c/ts au ³³	a m	ch/tsʰ ɔ A/¹	ch/tsʰ ɔ A/¹	s ɔ	c/ts ʌ ³⁴	h ə c ɔ	ʔ a + ʔ o ʔ	c/ts o	ʃ o ⁵⁵	s o ʔ ¹	c/ts uə	c/ts o B/²	k o ʔ	s ɔ ʔ ⁵⁵	c/ts â/a w	cw/tsʷ ə ʔ	ʔ ə c i ʔ	c/ts ɔ ³³	c/ts ou	c/ts ɔ	s e l o g	c/ts k ɛ	cw/tsʷ a	s ɔ	ʔ a c ɔ	ch/tsʰ ɔ B/²	ʔ a c ɔ	ʔ e ʔ	c/ts ɔ ¹³ ʔ	s ɔ ʔ ⁵³	c/ts uə ⁵⁵	s o l o g	ks/kˢ e w	s ɔ ʔ ⁵³	ch/tsʰ ə k ɛ	s ɔ ʔ	s ɔ	s i t a	c/ts ɔ	c/ts â/a N/⁵	c/ts ɔ ³³	c/ts ɔ	c/ts ɔ ³⁴	s ɔ	s ɔ	k uo n + s ao	ə s u	S/ʃ o	c/ts ɔ	c/ts ɔ ³³ˀ/³³	s o ʔ ³⁵	s ə ⁵¹	ćh/tɕʰ ɔ ʔ ⁵⁵	b r a ɲ	k l ui w	s e t a	c/ts o ³	ʔ á/a m	ʔ ə c ɔ	c/ts a k e	c/ts ɔ	ch/tsʰ u r ¹	c/ts ɔ	c/ts ɔ	ʔ ə c ɔ	c/ts u ⁵³	tʃʰ ɔ ʔ ⁵⁵	k a s + w a	k u s o ʔ n	s ɔ	c/ts ɔ ⁴⁴	s o ⁵¹	sw/sʷ a ʔ	c/ts o T/¹⁵	a c ɔ ³	s au ⁵¹	ch/tsʰ ɔ C/³	s e t a	c/ts ɔ T/¹⁵	c/ts o ʔ	c/ts ɔ	c/ts ɔ	ćh/tɕʰ ɔ ³¹	ʔ a c ɔ	k i n + s ó/o d	s ɔ	p i + s o	c/ts ɔ C/³	a c ɔ	c/ts ɔ	c/ts ə w ɔ ʔ	S/ʃ o	c/ts ə ʔ B/²	c/ts ɔ ²	c/ts ɔ ³⁴³ˀ/³⁴³	a c ɔ	c/ts ɔ ²¹²	c/ts ɔ	ch/tsʰ ó/o	s o ʔ	ç o ⁵⁵
