Cognate_ID,Badga,Betta_Kurumba,Brahui,Gondi,Kannada,Kodava,Kolami,Kota,Koya,Kurukh,Kuwi,Malayalam,Malto,Ollari_Gadba,Parji,Tamil,Telugu,Toda,Tulu,Yeruva
100_yellow,m a n dʒ e,m a n dʒ ə l aː n g i,p uː ʃ k u n,p i v aː dʱ,h a l a d i,m a n dʒ a,p i j u d a,m a n dʒ ə,p a s a p,b aː l k a,h i n g e ɾ i,m a ɲ a,b a l k e,,,m a n dʒ a ɭ,p a s u p u,a ɾ dʒ i n,m a n dʒ a l u,m a n dʒ e
10_blood,r a tː ə,n ə tː ə ɾ ə,d i t a ɾ,n e tː u ɾ,ɾ a k t a,tʃ oː ɾ ə,n e tː u ɾ,n eː t u ɾ u,n e tː u ɾ,kʰ eː n s,n e tː i r,ɾ e k t a m,ɾ a s a d u,n e tː i ɾ,n e t i r,ɾ a tː a m,ɾ a k t a m u,p oː kʰ ə,n e tː a r ə,tʃ oː ɾ e
11_bone,i l ə,j a l ə ʋ ə,a ɖː ə,b o kː a,j e l u b u,m uː ɭ e,b o kː a,j e l u ʋ ə,b uː l aː,kʰ o tʃ o l,,e lː ə,oː tʃ u l d iː,,b uː l a,e l u m b ə,j e m u k a,e l f,e lː ə,m uː ɭ e
12_breast,m aː ɾ ə,k u j n d i g i,x a d,d u d o,e d e,m e l e,s aː tː i,m eː l,e d d a m,j e ʋ a kʰ,s i p a d a k i,m aː r̪ u,d a i b u k u,p a l g i l,e d r a m,m aː ɾ b ə,g u n d e,n i dʒ i k u ɖ i,t i g a l a,m e l e
13_burn,k i tʃ iː k d ə,b j aː ɭ,x aː x a ɾ + t i nː i n g,n i ɾ u s,s u ɖ u,tʃ uː ɖ ə,g o n ɖ k a,k aː t o,m a ɳ ɖ u,o l n a,,k a t i kː u g a,m eː d a,,,e ɾ i,k aː l u,t iː kː u + k aː tː i t i,p o tː a ʋ a ɾ a,tʃ uː ɖ ə
14_claw,u g i l ə,k iː j ə gː ə ɾ ə,h o ɾ + a d,g o ɾ k,u g a ɾ u,ʋ o j i,g oː ɾ,k a i j oː ɾ u,g oː ɾ k,o ɾ o kʰ,g a ɾ k a,n a kʰ a m,o ɾ u g d u,k a ʂ ʋ a n ɖ e,g eː r i,n a g a m,g oː ɾ u,j uː r,u g u ɾ u,u mː i
15_cloud,m a n dʒ u,m oː ɖ ə,dʒ a mː a ɾ,m a bː u,m eː g h a,m oː ɖ a,aː b a r,m eː g a m,m a bː u,b a d aː l i,h aː g u,m e kʰ a m,b a d l iː,,m a l g u r,m eː g a m,m eː gʱ a m u,m eː g a m,m oː ɖ a,m oː ɖ a
16_cold,k o ɾ u ʋ ə,s ə j l i j ə,j a kʰ,s a lː a g,t a ɳ ɳ i g e,t a l i n dʒ a d ə,p a n i,k o ɾ ʋ ə,s a lː aː,k iː ɾ n a,,t a ɳ u pː ə,p a n i j aː,,p a ɲ i l,k u ɭ i ɾ tʃ i,tʃ a lː a,k o ɾ t i,tʃ a pː a,t a ɳ i dʒ e
17_come,p a pː a,b aː ɾ,b a nː i n g,ʋ a,b a r u,b aː,ʋ a,,ʋ a,b a ɾ n a,,ʋ a ɾ u g a,b a ɾ ə aː,ʋ a,v e r,ʋ aː,ʋ a tʃː u,p aː ɾ t i,b a ɾ a ɾ a,b aː
18_die,s aː ʋ a d ə,m a ɾ d oː g,k a h i n g,h aː,s aː j i,tʃː ɭ a,t i g t eː n,t aː ʋ ə,ɖ o lː a t a m,kʰ e n a,,m a ɾ i kː u g a,k e ə aː n aː k e ə i d aː h,,c a y,tʃ aː,tʃ a tʃː i p oː ʋ u,k e ɖ u o i s i,s a j j a ɾ a,tʃ aː ɭ a
19_dog,n e,n aː j ə,k u tʃ a k,n e j,n aː j i,n aː j i,aː t e,n aː j i,n e j,a lː a,,n aː j a,k u tʃː o,n e,n e tː a,n aː j i,k u kː a,n o i,n aː j i,n aː j i
1_i,n a,n aː ʋ ə,iː,n a nː a,n aː n u,n aː n ə,n eː n u,aː n,n a nː a,a eː n,n aː n u,ɲ aː n,h eː n u,aː n,aː n,n aː n,n eː n u,oː n,j aː n u,n aː n
20_drink,k u ɖ a p ə,k u ɖ i,k u n i n g,u n,k u ɖ i,k u ɖ i p a,a n i ɾ u s aː t,u n a t u k ə,u nː u,o nː a,,k u ʈ i,h oː n aː,u n,u n,k u ɖ i,t aː g u,u ʈː u d i,p a ɾ i j a ɾ a,k u ɖ i p ə
21_dry,o ɳ i k i l a d ə,a j n g ə n u + i p ə d ə,b aː ɾ u n,ʋ a ʈː a,b a tː i d a,o ɳ a n g i n a,aː t i ɾ,k a n ʈ i k o,a ɾ t aː d,kʰ a j k a,,v a r a ɳ ʈ a,aː i k aː,,,u l a r n t a,e ɳ ɖ u,o ɳ i k i s i,n u n g u d u n a,u n a k u
22_ear,k i ʋ i,k i ʋ i j a,x a f,k e ʋ u,k i ʋ i,k e m i,k e ʋ,k e ʋ ə,k e ʋ,kʰ e b d a,k i ɾ i j u,tʃ e ʋ i,d a ɾ t iː,k e k a l,k e k o l,k aː d ə,tʃ e ʋ i,k i l i,k e b i,k e m i
23_earth,,b uː m i,ɖ a g aː ɾ,m a nː ə,m a ɳ ɳ u,m a nː ə,bʱ uː m i,bʱ u l oː g a m,m a ʈː i,kʰ e kʰ e l,bʱ u m i,m a nː ə,bʱ u m i,t u k u d,t uː k,m a nː ə,m a nː u,k o ɖ ə,m a nː ə,
24_eat,t i m b ə,t i nː,k u n i n g,dʒ e ʋ i,t i nː u,t i n ə,aː n t i s a t u n,t i n + a t e j,t i nː u,m o kʰ n a,t i n u,t i nː u g a,dʒ aː g oː l p a h,t i n,t i n,s aː p ə d ə,t i n u,t o ɾ t i n,u ɳ aː ɾ a,t i nː oː
25_egg,m o ʈː e,m u j ɾ g i,x u a h a e,m iː n dʒ,m o ʈː e,m u ʈː e,s a n k u,m o o ʈ ə,g a ɾ b a m,b iː,t a l a,m u ʈː a,ɾ a ɾ a p aː n d u,k a ɾ b ə,,m u ʈː e,g u ɖː u,m u ʈː e,k e tː i,m u ʈː e
26_eye,k a ɳ ɳ ə,k a ɳ ɳ u,x a n,k ə ɖ ə,k a ɳ ɳ ə,k a ɳ ɳ ə,k a n,k a ɳ ɳ ə,k o ɳ ɖ,kʰ a nː,k a n u,k a ɳ ɳ ə,aː n d u,k a ɳ u l,k a n,k a ɳ ɳ ə,k a nː u,k a ɳ,k a ɳ ɳ u,k a ɳ ɳ ə
27_fat,k o ɭ ə pː ə,t a nː i ʋ i,tʃ a ɾ p iː,k o ɾ o n dʒ,k o bː u,tʃ e ɾ a b i,,k o ɭ u p u,k o d o ʋ oː s,n e ʈ a,,k o ɻ u pː ə,n e dʒː a,m eː n,k o ɽ u k u ɖ,k o ɻ u pː ə,k o ʋː u,k o ɻ ə pː ə,tʃ e ɾ a b i,tʃ i ɾ a b i
28_feather,ɾ a kː e,t i ʋ i j a,p a ɾ ɾ ɛ,b u ɾ a,g a r i,t o p a ʈ a,b u lː,ɾ eː k ə,g e ɾ k,p e n tʃ o,,t uː ʋ a l ə,p a k iː,,,ɾ e kː e,iː k a,i ɾ a kː e,h u ʋ i,t oː p ə ʈ aː
29_fire,k i tʃː ə,t i sː ə,x aː x a ɾ,t a ɖ m i,b e n k i,t i tː a,k i sː,n i pː u,k i s,tʃ i tʃː,d a n k e ɾ e,t eː,tʃ i tʃ a d u,,k i c,n e r u pː u,n i pː u,t iː tː ə,t u ʋ u,t iː
2_all,e lː a,oː ʈ ə j a,k u lː,b o tː i g,e lː a,e lː a,m aː k,e lː aː m,a n t aː,m a j i n,h a r a,e lː a,g oː ʈ a h iː,,,e lː aː m,a n t a,o ʋː o ɖ i m o,m aː t a,n a n g aː ɭ ə
