Cognate_ID,Batek_Deq_Koh,Batek_Deq_Terengganu,Batek_Teh_Lebir,Batek_Teh_Taku,Batek_Teq,Ceq_Wong,Jah_Hut,Jahai_Banun,Jahai_Rual,Kammu,Kensiw_Kedah,Kensiw_Perak,Khmer_Siem_Reap,Khmer_Surin,Kintaq,Lanoh_Kertei,Mah_Meri,Maniq,Menriq_Lah,Menriq_Rual,Mon,Semai_Kampar,Semai_Ringlet,Semaq_Beri_Berua,Semaq_Beri_Jaboy,Semelai,Semnam_Bal,Semnam_Malau,Temiar_Kelantan,Temiar_Perak,Tenen_Paborn,Tenen_Palian
100_skin,k ə t ɘ ʔ,k ə t ə ʔ,k t ɨ ʔ,k ə t ɘ ʔ,k t ə ʔ,h o ʔ,k t u ʔ,k t ɨ ʔ,k t ɨ ʔ,h m p ú/u u r,k t ə ʔ,k t ɘ ʔ,s ə b a ɛ c,s ə b ɛː ʔ,k t ə ʔ,s m p o ʔ,k u l i t,k a t ɨ ʔ,k t ɨ ʔ,k t ɨ ʔ,n̥ a m,g t ɨː ʔ,g ə t əː ʔ,g t u,k u l e t,k u l i t,k a t ɛ̃ː k,s m p oː ʔ,s ɛ m p oː ʔ,s m p o ʔ,,k t ɨ ʔ
101_sky,g ə l a ʟ + k ə t ɔ ʔ,k l i ŋ,l a ŋ i t,l a ŋ i t,,l a ŋ ĩ t,l a ŋ i t,k t ɔ ʔ,m i t + k t ɔ ʔ,l w à/a a ŋ,m ɛ t + k t ɔ ʔ,m ɛ t + k t ɔ ʔ,m eː c,m ɪː ʔ,m ɛ t + k t ɔ ʔ,j i s,l a ŋ i t,k a ʔ e j,k t ɔ ʔ,m ɛ t + k t ɔ ʔ,t ə k a h,sʷ eː k,m a t + ʔ a r i ʔ,k l i ŋ,l a ŋ i t,m a l e ŋ,,j i s,b a l iː k,b a l iː k,,k a ʔ ɛ j
102_sleep,t ɪ k,t e k,p a j ɨ ʔ,t e k,t e k,ʔ ɑ m,c j ɛ k,t e k,p ʔ j ɨ ʔ,s í/i s,t e k,t ɛ k,d eː c,d eː ʔ,t e k,t ɛ k,g ə t e k,t i e k,t e k,t i k,t ɔ i k,b ɛː t,b ɛː t,j t ɛ k,j t ɛ k,j t ɛ k,t ɛː k,t ɛː g,s ə l ɔ g,s l ɔ k,,t i e k
103_small,k a n ɛ t,k a n ɛ t,w ɔ ŋ,b l ɛ̃ p,w ɔ ŋ,h i ʔ ɔ̃ j,kʷ ɛ̃ ʔ,ʔ h ə j,ʔ h ə j,n ʔ ɛ,k a n ɔ t,,t o u c,t uː c,ʔ a j ɔ ʔ,ʔ a m ɛ s,h ɛ d ɛ̃ t,w ɔ ŋ + ʔ ə h ɔ ʔ,b l ɛ̃ p,ʔ a j ɔ ʔ,s o a,l a l ɛ ʔ,m a c ɔ n,k a n ɛ t,k a n ɛ ʔ,k ɛ̃ t,ʔ a h uː ʔ,ʔ a h u ʔ,ʔ a m ɛ s,ʔ a m ɛ s,ʔ o h ɔ̃ ʔ,w ɔ ŋ
104_smell,ʔ ɔ̃ ɲ,ʔ ɔ̃ ɲ,ʔ ɔ̃ ɲ,ʔ ɔ̃ ɲ,ʔ ɔ̃ ɲ,ʔ ɔ̃ ɲ,ʔ ɔ̃ ɲ,ʔ ɔ̃ ɲ,h o p m u p,h m ʔ ʔ ɨ r,ʔ ɔ̃ ɲ,ʔ ɔ̃ ɲ,tʰ a ʌ p,tʰ ʌː p,ʔ ɔ̃ ɲ,ʔ ũ ɲ,h ɔ n,ʔ ɔ̃ ɲ,ʔ ɔ̃ ɲ,ʔ ɔ̃ ɲ,h ə m a o,k r ŋ oː j,ŋ uː j,ʔ u ɲ,ʔ u n,j ɔ h ɔ n,ʔ ɔ̃ː ɲ,ʔ ɔ̃ː ɲ,ʔ uː ɲ,ʔ ũː ɲ,,h a ʔ ĩ t
105_smoke,ʔ a s ɛ p,ʔ a s ɛ p,ʔ a s ɛ p,ʔ a s ɛ p,ʔ a s ɛ p,s j a j,ʔ a s a p,ʔ j ʔ e j,ʔ j ʔ e j,p tʼ ə,ʔ i j ɛ j,ʔ i j ɛ j,pʰ s a ɛ ɲ,p ə s ɛː ɲ,ʔ i ʔ i j,ʔ j ʔ e j,j ə l ə k,ʔ i j ɛ j,ʔ a s ɛ p,ʔ a s ɛ p,j ɛ̤ ʔ a k,c a s,ʔ a s a p,n j g u j + ʔ u s,ʔ j ʔ ɔ j,j l ə k,g ɘː j + ʔ oː s,j ʔ e m,c a s,ʔ j ʔ eː j,,
106_smooth,b l a c,,b l a c,b l a c,,b l ɑ c,b l a c,b c l a c,b l a c,l m ʔ ɛː t,g h ɛ ʔ,g h ɛ h,l ə l ɔ o ŋ,l ə l iː ɲ,g h ɛ ʔ,s l e c,s l i w,g a h ɛ,b l a c,b l a c,k ə l e + k ə l o t,s l ɛ c,s l ɛ c,b l a c,b l a t,s l e w,s l ĕ c,s l e j,s ə l e j,s l e c,,h a d ɘ j
107_snake,ʔ o l a ʟ,ʔ u l a r,j k ɔ p,j k ɔ p,ʔ u l a r,t a l o n,t a l o n,t a j u ʔ,t a j u ʔ,m à/a r,ʔ i k ɔ p,ʔ i k ɔ p,p ŏ ɔ h,p ŏ a h,t a j u ʔ,t a j u ʔ,t i j a w,j ə k ɔ p,j k ɔ p,j k ɔ p,s ṳ m,t i j iː ʔ,t a j u ʔ,t i j ɔ,t i j ɔ h,t i j ɔ,t a j uː ʔ,t a j u ʔ,t a j uː ʔ,t a j uː ʔ,j k ɔ p,j a k ɔ p
108_spear,b u l u s,b u l u s,b u l u s,m a t a ʔ,b u l u s,ʔ ɑ t,l e m b e ŋ,m a t a ʔ,m a t a ʔ,p l ì/i a s,b u l u s,l m e ŋ,,,b u l u s,,t o h o k,ʔ a t,m a t a ʔ,m a t a ʔ,m ɔ i ŋ,t a r ɔ k,m a t a ʔ,l ə m b i ŋ,t o h o ŋ,l m e ŋ,b u l uː s,,t a r ɔ g,t a r ɔ g,,b j ɔ̃ h
109_spit,k ə t ɔ ɸ,k ə t ɔ h,k t ɔ h,k b ɛ c,k ə t ɔ ɸ,k b a c,t ə h u j ɛ̃ ŋ,k b ɛ c,k b ɛ c,k c ú/u h,t i ɸ,t i ɸ,s d ɒ h,s d ɒ h,b e c,k b ɛ c,b a tʰ ɔ j,t i ɸ,k b ɛ c,k b ɛ c,cʰ ɔ h,g t ɔ h,t ɔ h,tʰ ɔ h,tʰ ɔ h,tʰ ɔ h,k b ɛː c,k b ɛː c,g ə t ɔ h,g t ɔ h,p a l ũ ɸ,t i ɸ
10_bone,t u l a ŋ,t u l a ŋ,j ʔ i ŋ,j ʔ i ŋ,t u l a ŋ,j ʔ e ŋ,j ə ʔ a ŋ,j ʔ e ŋ,j ʔ e ŋ,c ʔ á/a a ŋ,ʔ i ʔ e ŋ,ʔ i j e ŋ,c ə ʔ ʌ ŋ,c ə ʔ ʌ ŋ,ʔ i ʔ e ŋ,j ʔ a ŋ,j ə ʔ a̤ k,ʔ i j e ŋ,j ʔ i ŋ,j ʔ i ŋ,cʰ ṳ t,j ʔ ɒː k,j ʔ aː k,j ə ʔ a ŋ,j ʔ a ŋ,j ʔ a ŋ,j ʔ aː ŋ,j ʔ aː ŋ,j ə ʔ aː k,j ʔ ɛ̃ː ŋ,ʔ i j e ŋ,ʔ i j e ŋ
110_squeeze,c ə p ĩ t,,c p ɛ̃ t,c p ɛ̃ t,p u l ɛ̃ s,c p i t,r ɨ t,c p ĩ t,c p ɛ̃ t,pʼ ɨ a t,l a m,l a m,c ə b a c,c ə b a c,c p ĩ t,c p ɛ̃ t,p r a h,,c p ɛ̃ t,c p ɛ̃ t,p ɔ t,r ɛ t,p ĩ t,r e t,ʁ ɛ t,p r a h,c p ɛ̃ː t,c p ɛ̃ː d,r ə j ɛ d,r j ɛ d,,ɲ p ɲ ɛ p
111_stab,c ɪ k,c e k,c i k,c i k,c ɔ k,c ə k,c ɔ k,c e k,c e k,k é/e ɲ,c e k,c e k,c a ʔ,c a ʔ,t i k a m,c l ɨ k,t i k a̤ p,c ã g ɛ̃,c e k,c i k,h a p a ʔ,c ɔ k,c u c o ʔ,cʰ ə k,c ə k,t i k a m,c ɔ̆ k,c l ɨ g,c ə l ə g,c l ɘ k,k a p,c ŋ ɛ h
112_stand,h i ɲ a ɲ,k i j e w,h ɲ j a ɲ,h ɲ j a ɲ,h ɲ a ɲ,h ɲ a ɲ,n i ʔ j u w ɔ ŋ,h ɲ j a ɲ,h ɲ j a ɲ,t ʔ ɨ n,h ɲ j a ɲ,h j ɔ l,cʰ ɔ o,cʰ u a r,h ɲ j a ɲ,t ɨ t,j ɯ̤ k,h ə ɲ j a ɲ,h ɲ j a ɲ,h ɲ j a ɲ,k ə t ɒ,j i ɲ j əː k,j i ɲ j ə k,ʔ a w,ʔ a w,ʔʷ ʔ a w,t ə̆ t,t ə d,t ə d,t ɘ t,h n j a ɲ,h n j a ɲ
113_stick,ʔ a t,,ʔ a t,ʔ a t,k a j u ʔ,t k ə h,k ə r ə ŋ,ʔ a t,ʔ a t,s n á/a r,ʔ a m a ŋ,ʔ a t,t ə b ɔː ŋ,t ə m ɒː ŋ,ʔ a t,j h ũ ʔ,l ɔ̤ k,ɲ a h u ʔ,ʔ a t,ʔ a t,l e̤ ʔ,k n iː ŋ,j h u ʔ + t u ŋ k a t,d l ɔ ŋ,d l ɔ ŋ,d l ɔ ŋ,t u ŋ k ă t,ʔ aː d,ʔ aː d,ʔ aː d,c a ʔ ɔ k,c a ʔ ɔ k
114_stone,b a t u ʔ,b a t u ʔ,b a t u ʔ,b a t u ʔ,b a t u ʔ,t m ɔ̃ ʔ,t ə m ɔ ʔ,b a t u ʔ,b a t u ʔ,k l à/a a ŋ,b a t u ʔ,b a t u ʔ,tʰ m ɔː,tʰ m ɒː,b a t u ʔ,b a t u ʔ,b a t u ʔ,b a t u ʔ,b a t u ʔ,b a t u ʔ,m ɔ ʔ,b a t uː ʔ,b a t u h,b a t u ʔ,t m o h,b a t u ʔ,b a t uː ʔ,b a t u ʔ,b a t uː ʔ,b a t u ʔ,b t u ʔ,b t u ʔ
115_straight,b ə t u l,l u r o s,b t u l,b t u l,ʔ a j ɔ l,d ŋ ũ k,d ə ŋ ɔ j,b t o l,b t u l,s k á/a r,b t u l,,t r ɒ ŋ,t r ɒ ŋ,b t u l,s j ɛ k,r u l o s,p a l ɛ ɲ,b t u l,b t u l,t ɔ p,t r ɔ s,s t r e p,s b l ɛ̃ k,l s o h,r u l u s,p l uː ɲ,t j oː s,s i j ɛ k,s j ɛ k,h a j ɔ l,p l ʔ ɛ ɲ
116_suck,p ɘ t,j ɔ t,ʔ i s ə p,j ɔ t,j ɔ t,ɲ ɔ̃ k,s d o t,j h ɨ t,tʰ o l,tʼ ɨ a t,,k b a m,b a ɨ̯,m e m,j ɔ t,j h ɨ t,ʔ i s a p,m a m,j ɔ t,k o l u m,s o̤ t,l oː t,ɲ o ʔ,m b ɔ t,s ɔ̃ k,ʔ ɲ u k,s oː ʔ,j h ɨː d,j ɔ d,j o d,m a m,j ɔ t
117_swell,k ə m a ŋ,ʔ ɔ s,k m a ŋ,k m a ŋ,k m a ŋ,sʷ a h,b k a k,k m a ŋ,k m a ŋ,è/e s,k m a ŋ,k m a ŋ,h a ʌ m,h ʌː m,k m ɛ ŋ,k m a k,b ə ŋ k a ʔ,h ɨ h r ɔ h,k ɘ n,k m a ŋ,k ṳ h,ʔ a s,k m b a ŋ,ʔ ɑ s,ʔ a s,ʔ ɒ s,k m ă k,k m a k,h ĩ s,p u k,t ʁ ɔ ʔ,
118_tail,h a c ɛ̃ ʔ,h a c ɛ̃ ʔ,h a t ɛ̃ ʔ,h a t ɛ̃ ʔ,h a c ɛ̃ ʔ,h a t e ʔ,s n t a ʔ,h a t ĩ ʔ,h a t ĩ ʔ,h n t á/a,h t i ʔ,h t ĩ ʔ,k ə t ʊ j,k ə n t u j,h t i ʔ,s n t a ʔ,,h a t i ʔ,h a t ɛ̃ ʔ,h a t ɛ̃ ʔ,h ə t a ʔ,s n t aː ʔ,s n t a ʔ,h a t e ʔ,h a t e ʔ,p ɒ s,s n t aː ʔ,s n t aː ʔ,s ɛ n t aː ʔ,s n t a ʔ,h a t i ʔ,h a t ĩ ʔ
