Cognate_ID,Achang,Alike,Atsi,Bahing,Bantawa,Batang,Beijing,Bokar,Bola,Bunan,Byangsi,Chaozhou,Chepang,Daofu,DarangTaraon,Dulong,Garo,Guangzhou,Hakha,Hayu,Japhug,Jieyang,Jingpho,Khaling,Kulung,Lashi,Lhasa,Limbu,Lisu,Longgang,Lushai,MaerkangrGyalrong,Maru,Mikir,MotuoMenba,OldBurmese,OldChinese,OldTibetan,Rabha,Rangoon,Rongpo,Tangut,Thulung,Ukhrul,WobziKhroskyabs,Xiahe,Xiandao,Xingning,Yidu,Zhaba
0_100_thehusband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z ɑ ³¹ g u ³¹,,,,,p eː n ā/aː n,,,,,,,,w ə,,,,,,,,
0_102_theice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a r + e,,,,,,,,,,,,,,,,
0_105_toknead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p a t i p,,,,,,,,,,,,,,,,
0_107_knife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɑ ⁵⁵ tʰ ɑ ³¹,,,,,n o./o k,,,,,,,,b j ɨ r,,,,,,,,
0_108_toknowsomething,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ch/ts i n í/i,,,,,,,,,,,,,,,,
0_109_thelake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b i,,,,,,,,,,,,,,,,
0_10_belowunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r ú/u m,,,,,,,,,,,,,,,,
0_113_tolearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ch/ts e r l i,,,,,,,,,,,,,,,,
0_116_toliedown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ì/i,,,,,,,,,,,,,,,,
0_125_tomarryamanmarriesawoman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p i s o./o + e n,,,,,,,,,,,,,,,,
0_130_themosquito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ch/ts i t í/i m,,,,,,,,,,,,,,,,
0_131_themother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p eː i,,,,,,,,,,,,,,,,
0_145_noon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n e r l o./o + ch/ts i t i m,,,,,,,,,,,,,,,,
0_149_theotter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s c r i m,,,,,,,,,,,,,,,,
0_152_toplantvegetalsrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,è/e,,,,,,,,,,,,,,,,
0_154_topull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v u ng/ŋ,,,,,,,,,,,,,,,,
0_157_therainbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m u k a k,,,,,,,,,,,,,,,,
0_160_thericeplant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dz a ³³ pʰ u ³³,,,,,à/a n,,,,,,,,r e r,,,,,,,,
0_162_theriver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l a ng/ŋ r oːi,,,,,,,,,,,,,,,,
0_167_torun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k à/a t,,,,,,,,,,,,,,,,
0_169_salty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i ng/ŋ t i + k e d o./o k,,,,,,,,,,,,,,,,
0_16_toblowofwind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b u t,,,,,,,,,,,,,,,,
0_172_thesea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t a l ó/o,,,,,,,,ŋ j o./o w,,,,,,,,
0_177_thesheep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m e r e s a k,,,,,,,,,,,,,,,,
0_17_thebodyhairhairorfur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a ng/ŋ m i,,,,,,,,,,,,,,,,
0_181_shy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k a tʰ e r a k,,,,,,,,g i eː,,,,,,,,
