Cognate_ID	Anuta	EastFutuna	EastUvea	Emae	FutunaAniwa	Hawaiian	Kapingamarangi	Luangiua	Mangareva	Maori	MeleFila	Niuean	NorthMarquesan	Nukeria	Penrhyn	Polynesian	Pukapuka	Raivavae	RakahangaManihiki	Rapanui	Rarotongan	RennellBellona	Rurutu	Samoan	Sikaiana	Tahitian	Tikopia	Tongan	Tuamotuan	Tuvalu	VaeakauTaumako
1001_71_tostabpierce																								t u i				t u i ʔ i		t u i	
1011_78_tocuthack	m o t u				m o t u	m o k u														m o t u	m o t u	m o t u		f a ʔ a + m u t u							m o t i a
1012_89_tohold									t aː + m a u				m a u						m a u												
1019_89_tohold				t a u a i			t a h i	k a o h i						t aː + o h i											t aː + o h i						
101_31_tooth	n i p o	n i f o	n i f o	n i f o	n i f o	n i h o	n i h a	ŋ i h o	n i ʔ o	n i h o	n i f o	n i f o	n i h o	n i h o	n i h o	n i f o	n i o	n i h o	n i h o	n i h o	n i ʔ o	n i h o	n i ʔ o	n i f o	n i h o	n i h o	n i f o	n i f o	n i h o	n i f o	n i h o
102_138_warm	m a + p a n a + p a n a	m aː + f a n a	m a + f a n a	m a + f a n a + f a n a	m a + f a n a	h a + h a n a	m a + h a n a	m a + h a ŋ a	m a + ʔ a n a	m a + h a n a		m a + f a n a	h a ʔ a + m aː + h a n a + h a n a	m a + h a n a	m a + h a n a	m a + f a n a + f a n a	m aː + j a n a		m a + h a n a	m a + h a n a	m a + ʔ a n a	m a + h a n a	m aː + ʔ a n a + ʔ a n a		m aː + h a n a	m aː + h a n a + h a n a	m a + f a n a	m a + f a n a	m a + h a n a	m a + f a n a	m a + h a n a
1031_62_thatchroof										r a u + r a u																	r a u + t a u				
1033_89_tohold																						p i + p i k i									p i k i + a
103_185_we				t a + u a		k aː + k o u	g i + d a	k aː + u a	t aː + u a	t aː + t o u	t a + u a	t a u + t o l u	t a + u a	t aː + t o u			a + t aː + u a	t aː + t o u	t aː + t o u	t a + t o u	t aː + t o u	k i + t a	t aː + t o u	t aː + t o u	t aː + u a	t aː + t o u		k i + t a u + t o l u	t a + t o u		tʰ a + t o u
104_188_what	aː	aː	aː		a h a	a h a	a h a	k e + a	a ʔ a	a h a	a f a	h aː	a h a	h e aː	a h a	h aː		a h a	e + a h a	a h a	a ʔ a	aː	a ʔ a		aː	e + a h a	aː	h aː	a h a	aː	aː
