Cognate_ID	Arhuaco	Atanque	Bari	Boruca	Bribri	Buglere	Cabecar	Cacaopera	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	LencaHonduras	LencaSalvador	Malayo	MalekuJaika	Mayangna	Miskito	Ngabere	Pech	Rama	SanBlasKuna	Teribe	Ulwa
1001_78_perro					tʃ í/i tʃ ì/i		tʃ í/i tʃ ì/i																		
1003_78_perro						t o				t o										n u					
100_9_blanco	'b/b u n s i + k a w a															a m b ɨ n ʃ i								ɸ ɺ ù/u ɾ ú/u n	
1012_79_pesado														t i l i b a	t 'i/i l i			t i h n i							t iː k a
1013_79_pesado								w i m											w i r a						
1025_79_pesado	m ɨ a ʔ 'z/z ɨ n a											m a tʃ u + a k 'z/z e													
1031_80_pez														s u a	ʃ o k 'i/i n										
1033_80_pez																		w a s + p a d i n i							w a s + p a d i k a
1035_80_pez	'w/w a k ɨ			ù/u ŋ		ŋ w e				ɣ u a	w aː ŋ g ɾ aː ʔ	ũ a				w a k a				g w a	ù/u ʃ ã̀/ã		u a	m à/a	
1038_80_pez					d i b ã́/ã		d i b ã̀/ã																		
1042_81_pie														g w a l	w a ʃ a k a										
1044_81_pie					k a ɺ ʊ́/ʊ		k a ɺ ʊ́/ʊ											k a l				k aː t			k a l
1049_81_pie																							n a k a	ʃ k ó/o ŋ	
1051_81_pie						s e ɾ a							s e r												
1052_81_pie	'k/k ə t ɨ		k i h t uː						'k/k e s a	k i h i tʲ a	k aː s a	k a s a				k ɨ 's/s a									
1053_82_piedra				k á/a ŋ		k e								k e	k e			k i							k i
1054_82_piedra								a p a											w a l p a						
1057_82_piedra	'a/a ʔ n ɨ		ãː		â/a k		h á/a k		'a/a k a	h ɨ k a		'h/h a g i	a g á/a			ɨ g i n a	o k t a ɾ aː			h ɔ			a k w a	à/a k	
1059_83_pierna				b ù/u s í/i x											p o s										
1062_83_pierna	k á/a n ë											k a l a				k ɨ n a		b a r a h m a k							
1066_83_pierna											d u k w a											t u k w a			
1068_83_pierna					k a ɺ ʊ́/ʊ + k i tʃ à/a		k a ɺ ʊ́/ʊ + k i tʃ à/a																		
1071_83_pierna						s e ɾ a g d a							s é/e ɾ g a l a												
1076_84_piojo														t e m	t e m										
1078_84_piojo	k u		k u	k u á/a	k ṹ/ũ	k ũ	k ṹ/ũ		'k/k u ɾ i a	k u e	k uː	k u 'i/i	k ũ				k uː	uː b a k	k ũ a	k ɯ̃	ùː/uː	k u ŋ	k uː	kʰ ṹ/ũ ŋ	uː b a k
1080_85_pluma													s h ũ l	s u k	ʃ u m a h										
1082_85_pluma																		b u t u							b u t u
1087_85_pluma				k á/a	k ʊ́/ʊ	g a	k ʊ́/ʊ													k ɔ					
1089_85_pluma									a n 'a/a ɾ a		g aː	g a l a				d u n g ɨ ɾ a							a p s a l a		
1093_86_pocos															tʃ 'i/i n k i r a									t í/i ɾ à/a k s ò/o	
1096_86_pocos																		w a j a k i							w a j a k i k i
1102_86_pocos					u ã̂/ã u ã̂/ã d		h ũ ã́/ã h ũ ã́/ã d ã̀/ã ɺ à/a									'u/u n g w ɨ z i									
110_10_boca														i n	i n t s 'a/a t s 'a/a										
1113_87_que														k a r i	k a s										
1115_87_que																n i		d i	d i a						d i
1116_87_que	'i/i n ɨ			í/i	í/i	dʒ e m a	h ì/i d ʊ́/ʊ		'i/i k u ɾ	i p k u a		h i									ĩ́/ĩ	j aː k a l	i p i		
111_10_boca								t a w a										t a p a s			s àː/aː p à/a				t a p a s
1123_88_reir														j o l	j o l o										
1125_88_reir			a n								h aː ɾ a							a ɾ a			a ɾ k õ̀/õ h		a ʎ		k a w a ɾ a
1128_88_reir					a dʒ ĩ		h a dʒ ẽ						a j i g				o iː								
1129_88_reir				ʃ ì/i t					s i 's/s i																
1133_88_reir	's/s e m											'ʃ/ʃ i m i h ĩ				ʒ i ʃ i m									
1136_89_rojo														s e w l a								s aː l a			
1138_89_rojo																		p a w n i	p a w n i		p ã́/ã w ã̀/ã				p a w k a
113_10_boca	k ə + k a		k a + k s i uː	k á/a + s à/a	a x k ʊ́/ʊ	k a	h k ʊ́/ʊ		'k/k a h + k a	k ɨ h ɨ k a	k a + k w a	'k/k a + k a	k a + g a			k 'ə/ə + k a	k o k iː			k a + d a		k a + k aː	k a + k a	kʰ á/a + m o	
1149_89_rojo	z i ʔ															ɨ n z i s i									
114_11_bosque														k o t a n	k o t a n										
1156_90_ropa								s i w a																ʃ u ó/o ŋ	
1157_90_ropa																		a s n a							a s n a
1163_90_ropa					d a t s ǐ/i ʔ		d a t s í/i																		
1169_90_ropa	m á/a k ë															m ɨ k ɨ + 's/s a l a									
116_11_bosque																		a s a ŋ p a s							a s a ŋ p a s
1174_91_saber														t i s	t i										
1180_91_saber																	u ɾ aː + x e					ŋ w a			
1181_91_saber				u í/i	u x tʃ + ẽ	u ɲ + e	h u dʒ + ẽ				w i												w i s i	h m í/i d ɪ̀/ɪ	
1185_91_saber	'a/a g ə n k w															a g ö n i h k u									
1189_92_sal			s a b i											s e p e	t s 'e/e p e										
1191_92_sal																		k u m a							k u m a
1193_92_sal	'n/n ə g + w ɨ				d a dʒ + ɪ́/ɪ		d a dʒ + ɪ̀/ɪ		'ɾ/ɾ a u + w a	n ɨ g + u a		n a k + u				n ɨ n g + u					t à/a k + è/e				
1194_92_sal						tʃ o					'n/n oː ʔ m a r i n d a											t a u l i			
1198_92_sal													b á/a l i							m ɾ ẽ			p a l u		
1199_93_sangre								a r u							a l a			aː							aː w a s
1203_93_sangre			aː b i	dʒ ì/i b í/i	a p ɪ̂/ɪ	b e	p í/i		'a/a b a	b a		'a/a b i	h a v é/e			ɨ m a						a i ɾ b iː	a p e		
1209_94_seco															t i n a	ʒ i t a	t i ɬ aː + x a			n ɣ t a + ɾ e			t i n a		
1210_94_seco								s a m a						s a w a											
1211_94_seco																		b u h n i							b u h k a
1214_94_seco			b u n ũ n ĩ						b u ɾ + 'a/a + b u ɾ + a	β u tʲ u a	b ɾ oː n t a											p l uː s b a			
1216_94_seco					p ô/o p ǒ/o		p ó/o																		
1223_95_serpiente														s a l a l a			ɬ a l aː k i								
122_11_bosque					k á/a ɺ dʒ ʊ̀/ʊ k		k à/a ɺ dʒ a k à/a																		
1230_95_serpiente				t è/e b è/e k	t k a b ɪ́/ɪ		t k a b ɪ̀/ɪ					't/t a g b i											n a k p e		
1235_95_serpiente	g w i 'o/o m ɨ															g u m a									
1236_95_serpiente										m ɨ s o	'm/m a n u ʔ														
123_11_bosque									'b/b o w a ɾ a															ɸ ʊ́/ʊ	
1240_96_sol				k à/a + k			k ã + ú/u ʊ́/ʊ							k a + s i							ã̀ː/ãː				
1242_96_sol																		m a							m a
1245_96_sol	dʒ w i					tʃ w i				s u a		'n/n i u i				'd/d ʒ u i	t oː x i								
1246_96_sol			n i + aː		d í/i + u ʊ̀/ʊ						'd/d i + ŋ a ʔ														
1250_96_sol									'r/r a + ʔ s a														t a + t a		
1251_97_tetas	t u		t u		t s ǔ/u ʔ	t u s ú/u	t s ú/u	s u m	s u 't/t a	tʲ u e		s u 'm/m i			t s 'u/u k i n	't/t u d u					t ú/u t ú/u		n uː		
1253_97_tetas																		t a	t j a l k a						t a
1254_97_tetas				k à/a ʔ							k aː ʔ						k oː ɾ i					k aː ŋ a l iː			
1255_97_tetas													n õ											n ó/o k u ò/o	
1258_98_tierra								d u r u						l u m											
1259_98_tierra																		s a w							s a w
1260_98_tierra				t á/a b		d b i													t a s b a	d ɔ b r ɔ			n a p a		
1264_98_tierra					í/i dʒ ʊ̀/ʊ k		h ĩ ʃ k ʊ́/ʊ																		
